Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ
132.5935,-23.40087,4.938995,18.06628,0,0,0
132.6015,-23.40133,4.938684,18.06787,0,0,0
132.6113,-23.40133,4.938684,18.06787,0,0,0
132.6195,-23.40133,4.938684,18.06787,0,0,0
132.6277,-23.40179,4.938377,18.06945,0,0,0
132.6373,-23.40179,4.938377,18.06945,0,0,0
132.6453,-23.40181,4.938416,18.06946,0,0,0
132.655,-23.40181,4.938416,18.06946,0,0,0
132.6631,-23.40336,4.938001,18.06895,0,0,0
132.6734,-23.40336,4.938001,18.06895,0,0,0
132.6816,-23.40372,4.93769,18.07076,0,0,0
132.6916,-23.40372,4.93769,18.07076,0,0,0
132.6999,-23.40372,4.93769,18.07076,0,0,0
132.7081,-23.40375,4.937726,18.07077,0,0,0
132.7179,-23.40375,4.937726,18.07077,0,0,0
132.7265,-23.40529,4.93731,18.07026,0,0,0
132.7368,-23.40529,4.93731,18.07026,0,0,0
132.7458,-23.40531,4.937341,18.07026,0,0,0
132.7555,-23.40531,4.937341,18.07026,0,0,0
132.7636,-23.40641,4.937273,18.06818,0,0,0
132.7732,-23.40641,4.937273,18.06818,0,0,0
132.7812,-23.40796,4.936855,18.06767,0,0,0
132.7907,-23.40796,4.936855,18.06767,0,0,0
132.7988,-23.40796,4.936855,18.06767,0,0,0
132.8069,-23.41062,4.93641,18.06508,0,0,0
132.8168,-23.41062,4.93641,18.06508,0,0,0
132.8247,-23.41014,4.936856,18.06371,0,0,0
132.8342,-23.41014,4.936856,18.06371,0,0,0
132.8423,-23.4133,4.93622,18.063,0,0,0
132.852,-23.4133,4.93622,18.063,0,0,0
132.8602,-23.41311,4.937162,18.0617,0,0,0
132.8708,-23.41311,4.937162,18.0617,0,0,0
132.8799,-23.41311,4.937162,18.0617,0,0,0
132.8886,-23.41466,4.936015,18.06086,0,0,0
132.8982,-23.41466,4.936015,18.06086,0,0,0
132.9064,-23.41747,4.93613,18.05862,0,0,0
132.9169,-23.41747,4.93613,18.05862,0,0,0
132.9256,-23.41715,4.936766,18.0571,0,0,0
132.9351,-23.41715,4.936766,18.0571,0,0,0
132.9433,-23.41827,4.936732,18.05502,0,0,0
132.9531,-23.41827,4.936732,18.05502,0,0,0
132.961,-23.41827,4.936734,18.05502,0,0,0
132.9713,-23.41827,4.936734,18.05502,0,0,0
132.9796,-23.41827,4.936734,18.05502,0,0,0
